prop_comfortable,prop_okay,prop_just,prop_difficult,location,label,population_name,metric_type,housing_tenure
0.33,0.21,0.13,0.33,1,rentstock_11_3_TCC,NA,TCC,rentstock
0.17,0.17,0.1,0.55,7,rentstock_11_3_TCC,NA,TCC,rentstock
0.23,0.23,0.13,0.41,13,rentstock_11_3_TCC,NA,TCC,rentstock
0.15,0.21,0.17,0.47,17,rentstock_11_3_TCC,NA,TCC,rentstock
0.15,0.17,0.14,0.55,19,rentstock_11_3_TCC,NA,TCC,rentstock
0.18,0.21,0.14,0.47,23,rentstock_11_3_TCC,NA,TCC,rentstock
0.14,0.14,0.16,0.56,25,rentstock_11_3_TCC,NA,TCC,rentstock
0.11,0.15,0.14,0.6,29,rentstock_11_3_TCC,NA,TCC,rentstock
0.14,0.15,0.17,0.54,31,rentstock_11_3_TCC,NA,TCC,rentstock
0.21,0.19,0.14,0.46,37,rentstock_11_3_TCC,NA,TCC,rentstock
0.11,0.07,0.16,0.66,39,rentstock_11_3_TCC,NA,TCC,rentstock
0.29,0.19,0.11,0.41,41,rentstock_11_3_TCC,NA,TCC,rentstock
0.12,0.14,0.16,0.58,47,rentstock_11_3_TCC,NA,TCC,rentstock
0.16,0.21,0.13,0.5,55,rentstock_11_3_TCC,NA,TCC,rentstock
0.21,0.21,0.14,0.44,59,rentstock_11_3_TCC,NA,TCC,rentstock
0.19,0.22,0.17,0.42,61,rentstock_11_3_TCC,NA,TCC,rentstock
0.14,0.17,0.15,0.54,65,rentstock_11_3_TCC,NA,TCC,rentstock
0.21,0.2,0.15,0.44,67,rentstock_11_3_TCC,NA,TCC,rentstock
0.14,0.17,0.17,0.52,71,rentstock_11_3_TCC,NA,TCC,rentstock
0.2,0.22,0.15,0.43,73,rentstock_11_3_TCC,NA,TCC,rentstock
0.54,0.17,0.09,0.21,75,rentstock_11_3_TCC,NA,TCC,rentstock
0.14,0.17,0.17,0.52,77,rentstock_11_3_TCC,NA,TCC,rentstock
0.19,0.19,0.17,0.45,79,rentstock_11_3_TCC,NA,TCC,rentstock
0.36,0.22,0.12,0.3,81,rentstock_11_3_TCC,NA,TCC,rentstock
0.18,0.18,0.13,0.5,83,rentstock_11_3_TCC,NA,TCC,rentstock
0.36,0.22,0.12,0.3,85,rentstock_11_3_TCC,NA,TCC,rentstock
0.25,0.23,0.16,0.35,87,rentstock_11_3_TCC,NA,TCC,rentstock
0.23,0.23,0.15,0.39,89,rentstock_11_3_TCC,NA,TCC,rentstock
0.15,0.24,0.13,0.47,95,rentstock_11_3_TCC,NA,TCC,rentstock
0.19,0.22,0.16,0.43,97,rentstock_11_3_TCC,NA,TCC,rentstock
0.16,0.19,0.16,0.49,99,rentstock_11_3_TCC,NA,TCC,rentstock
0.11,0.12,0.11,0.66,107,rentstock_11_3_TCC,NA,TCC,rentstock
0.16,0.2,0.19,0.45,111,rentstock_11_3_TCC,NA,TCC,rentstock
0.16,0.23,0.16,0.45,113,rentstock_11_3_TCC,NA,TCC,rentstock
0.37,0.24,0.14,0.26,1,rentstock_11_3_No_TCC,NA,No_TCC,rentstock
0.35,0.2,0.16,0.29,7,rentstock_11_3_No_TCC,NA,No_TCC,rentstock
0.31,0.23,0.17,0.29,13,rentstock_11_3_No_TCC,NA,No_TCC,rentstock
0.25,0.31,0.19,0.25,17,rentstock_11_3_No_TCC,NA,No_TCC,rentstock
0.41,0.2,0.14,0.24,19,rentstock_11_3_No_TCC,NA,No_TCC,rentstock
0.31,0.24,0.11,0.35,23,rentstock_11_3_No_TCC,NA,No_TCC,rentstock
0.48,0.19,0.13,0.21,25,rentstock_11_3_No_TCC,NA,No_TCC,rentstock
0.36,0.27,0.14,0.22,29,rentstock_11_3_No_TCC,NA,No_TCC,rentstock
0.46,0.16,0.11,0.27,31,rentstock_11_3_No_TCC,NA,No_TCC,rentstock
0.28,0.23,0.15,0.34,37,rentstock_11_3_No_TCC,NA,No_TCC,rentstock
0.4,0.27,0.11,0.21,39,rentstock_11_3_No_TCC,NA,No_TCC,rentstock
0.26,0.26,0.1,0.38,41,rentstock_11_3_No_TCC,NA,No_TCC,rentstock
0.48,0.18,0.1,0.24,47,rentstock_11_3_No_TCC,NA,No_TCC,rentstock
0.28,0.22,0.18,0.32,55,rentstock_11_3_No_TCC,NA,No_TCC,rentstock
0.26,0.27,0.15,0.32,59,rentstock_11_3_No_TCC,NA,No_TCC,rentstock
0.34,0.28,0.12,0.27,61,rentstock_11_3_No_TCC,NA,No_TCC,rentstock
0.3,0.24,0.15,0.31,65,rentstock_11_3_No_TCC,NA,No_TCC,rentstock
0.33,0.24,0.15,0.28,67,rentstock_11_3_No_TCC,NA,No_TCC,rentstock
0.3,0.25,0.16,0.28,71,rentstock_11_3_No_TCC,NA,No_TCC,rentstock
0.25,0.27,0.15,0.33,73,rentstock_11_3_No_TCC,NA,No_TCC,rentstock
0.44,0.23,0.11,0.22,75,rentstock_11_3_No_TCC,NA,No_TCC,rentstock
0.39,0.27,0.13,0.21,77,rentstock_11_3_No_TCC,NA,No_TCC,rentstock
0.3,0.23,0.14,0.33,79,rentstock_11_3_No_TCC,NA,No_TCC,rentstock
0.35,0.26,0.14,0.26,81,rentstock_11_3_No_TCC,NA,No_TCC,rentstock
0.26,0.25,0.14,0.35,83,rentstock_11_3_No_TCC,NA,No_TCC,rentstock
0.4,0.24,0.13,0.22,85,rentstock_11_3_No_TCC,NA,No_TCC,rentstock
0.37,0.23,0.14,0.26,87,rentstock_11_3_No_TCC,NA,No_TCC,rentstock
0.47,0.23,0.08,0.22,89,rentstock_11_3_No_TCC,NA,No_TCC,rentstock
0.28,0.27,0.16,0.29,95,rentstock_11_3_No_TCC,NA,No_TCC,rentstock
0.26,0.28,0.16,0.31,97,rentstock_11_3_No_TCC,NA,No_TCC,rentstock
0.39,0.24,0.13,0.25,99,rentstock_11_3_No_TCC,NA,No_TCC,rentstock
0.42,0.23,0.12,0.23,107,rentstock_11_3_No_TCC,NA,No_TCC,rentstock
0.26,0.28,0.16,0.3,111,rentstock_11_3_No_TCC,NA,No_TCC,rentstock
0.31,0.24,0.12,0.33,113,rentstock_11_3_No_TCC,NA,No_TCC,rentstock
0.59,0.22,0.08,0.12,1,mortstock_11_3_TCC,NA,TCC,mortstock
0.46,0.22,0.13,0.19,7,mortstock_11_3_TCC,NA,TCC,mortstock
0.54,0.22,0.1,0.14,13,mortstock_11_3_TCC,NA,TCC,mortstock
0.48,0.23,0.14,0.16,17,mortstock_11_3_TCC,NA,TCC,mortstock
0.41,0.23,0.12,0.24,19,mortstock_11_3_TCC,NA,TCC,mortstock
0.35,0.25,0.14,0.25,23,mortstock_11_3_TCC,NA,TCC,mortstock
0.29,0.18,0.19,0.33,25,mortstock_11_3_TCC,NA,TCC,mortstock
0.37,0.23,0.12,0.28,29,mortstock_11_3_TCC,NA,TCC,mortstock
0.36,0.24,0.15,0.25,31,mortstock_11_3_TCC,NA,TCC,mortstock
0.44,0.23,0.12,0.21,37,mortstock_11_3_TCC,NA,TCC,mortstock
0.34,0.2,0.16,0.3,39,mortstock_11_3_TCC,NA,TCC,mortstock
0.62,0.18,0.08,0.11,41,mortstock_11_3_TCC,NA,TCC,mortstock
0.29,0.18,0.15,0.38,47,mortstock_11_3_TCC,NA,TCC,mortstock
0.48,0.25,0.12,0.15,55,mortstock_11_3_TCC,NA,TCC,mortstock
0.48,0.24,0.11,0.16,59,mortstock_11_3_TCC,NA,TCC,mortstock
0.47,0.24,0.12,0.16,61,mortstock_11_3_TCC,NA,TCC,mortstock
0.36,0.25,0.15,0.24,65,mortstock_11_3_TCC,NA,TCC,mortstock
0.46,0.26,0.11,0.17,67,mortstock_11_3_TCC,NA,TCC,mortstock
0.35,0.26,0.14,0.25,71,mortstock_11_3_TCC,NA,TCC,mortstock
0.46,0.25,0.12,0.17,73,mortstock_11_3_TCC,NA,TCC,mortstock
0.72,0.13,0.06,0.1,75,mortstock_11_3_TCC,NA,TCC,mortstock
0.39,0.28,0.12,0.2,77,mortstock_11_3_TCC,NA,TCC,mortstock
0.41,0.29,0.09,0.21,79,mortstock_11_3_TCC,NA,TCC,mortstock
0.62,0.18,0.09,0.12,81,mortstock_11_3_TCC,NA,TCC,mortstock
0.45,0.21,0.14,0.19,83,mortstock_11_3_TCC,NA,TCC,mortstock
0.63,0.19,0.07,0.11,85,mortstock_11_3_TCC,NA,TCC,mortstock
0.51,0.22,0.08,0.18,87,mortstock_11_3_TCC,NA,TCC,mortstock
0.41,0.25,0.15,0.19,89,mortstock_11_3_TCC,NA,TCC,mortstock
0.44,0.27,0.12,0.17,95,mortstock_11_3_TCC,NA,TCC,mortstock
0.49,0.25,0.11,0.15,97,mortstock_11_3_TCC,NA,TCC,mortstock
0.38,0.23,0.16,0.23,99,mortstock_11_3_TCC,NA,TCC,mortstock
0.32,0.26,0.16,0.26,107,mortstock_11_3_TCC,NA,TCC,mortstock
0.43,0.26,0.13,0.18,111,mortstock_11_3_TCC,NA,TCC,mortstock
0.53,0.23,0.09,0.15,113,mortstock_11_3_TCC,NA,TCC,mortstock
0.67,0.17,0.07,0.09,1,mortstock_11_3_No_TCC,NA,No_TCC,mortstock
0.65,0.19,0.08,0.08,7,mortstock_11_3_No_TCC,NA,No_TCC,mortstock
0.64,0.19,0.07,0.1,13,mortstock_11_3_No_TCC,NA,No_TCC,mortstock
0.61,0.19,0.1,0.1,17,mortstock_11_3_No_TCC,NA,No_TCC,mortstock
0.64,0.2,0.07,0.1,19,mortstock_11_3_No_TCC,NA,No_TCC,mortstock
0.5,0.29,0.08,0.13,23,mortstock_11_3_No_TCC,NA,No_TCC,mortstock
0.63,0.18,0.1,0.09,25,mortstock_11_3_No_TCC,NA,No_TCC,mortstock
0.64,0.19,0.06,0.11,29,mortstock_11_3_No_TCC,NA,No_TCC,mortstock
0.66,0.2,0.05,0.08,31,mortstock_11_3_No_TCC,NA,No_TCC,mortstock
0.55,0.2,0.1,0.15,37,mortstock_11_3_No_TCC,NA,No_TCC,mortstock
0.61,0.2,0.07,0.13,39,mortstock_11_3_No_TCC,NA,No_TCC,mortstock
0.66,0.17,0.07,0.1,41,mortstock_11_3_No_TCC,NA,No_TCC,mortstock
0.54,0.22,0.09,0.15,47,mortstock_11_3_No_TCC,NA,No_TCC,mortstock
0.56,0.24,0.07,0.12,55,mortstock_11_3_No_TCC,NA,No_TCC,mortstock
0.59,0.2,0.09,0.12,59,mortstock_11_3_No_TCC,NA,No_TCC,mortstock
0.62,0.2,0.09,0.09,61,mortstock_11_3_No_TCC,NA,No_TCC,mortstock
0.56,0.21,0.1,0.13,65,mortstock_11_3_No_TCC,NA,No_TCC,mortstock
0.62,0.21,0.08,0.1,67,mortstock_11_3_No_TCC,NA,No_TCC,mortstock
0.57,0.21,0.09,0.13,71,mortstock_11_3_No_TCC,NA,No_TCC,mortstock
