county,population,Metric_Type,prop_comfortable,prop_okay,prop_just,prop_difficult,total
Alameda,A,Improved Metric,0.16,0.2,0.38,0.26,1
Alpine,A,Improved Metric,0.37,0.1,0.25,0.29,1
Amador,A,Improved Metric,0.27,0.3,0.24,0.19,1
Butte,A,Improved Metric,0.4,0.11,0.31,0.18,1
Calaveras,A,Improved Metric,0.48,0.06,0.24,0.22,1
Colusa,A,Improved Metric,0.07,0.11,0.36,0.45,1
Contra Costa,A,Improved Metric,0.2,0.26,0.17,0.37,1
Del Norte,A,Improved Metric,0.42,0.13,0.04,0.41,1
El Dorado,A,Improved Metric,0.31,0.08,0.15,0.46,1
Fresno,A,Improved Metric,0.17,0.36,0.21,0.26,1
Glenn,A,Improved Metric,0.61,0.26,0.01,0.11,1
Humboldt,A,Improved Metric,0.4,0.36,0.19,0.06,1
Imperial,A,Improved Metric,0.33,0.31,0.31,0.05,1
Inyo,A,Improved Metric,0.19,0.3,0.23,0.28,1
Kern,A,Improved Metric,0.07,0.15,0.53,0.25,1
Kings,A,Improved Metric,0.39,0.24,0.03,0.34,1
Lake,A,Improved Metric,0.12,0.36,0.05,0.46,1
Lassen,A,Improved Metric,0.02,0.2,0.47,0.31,1
Los Angeles,A,Improved Metric,0.17,0.05,0.47,0.31,1
Madera,A,Improved Metric,0.37,0.25,0.36,0.03,1
Marin,A,Improved Metric,0.5,0,0.36,0.14,1
Mariposa,A,Improved Metric,0.47,0.14,0.11,0.28,1
Mendocino,A,Improved Metric,0.21,0.22,0.3,0.27,1
Merced,A,Improved Metric,0.31,0.27,0.29,0.12,1
Modoc,A,Improved Metric,0.32,0.39,0.08,0.22,1
Mono,A,Improved Metric,0.48,0.09,0.05,0.38,1
Monterey,A,Improved Metric,0.33,0.24,0.35,0.08,1
Napa,A,Improved Metric,0.34,0.45,0.21,0.01,1
Nevada,A,Improved Metric,0.14,0.33,0.22,0.32,1
Orange,A,Improved Metric,0.07,0.29,0.23,0.41,1
Placer,A,Improved Metric,0.34,0.04,0.28,0.33,1
Plumas,A,Improved Metric,0.39,0.24,0.35,0.02,1
Riverside,A,Improved Metric,0.33,0.21,0.14,0.32,1
Sacramento,A,Improved Metric,0.3,0.29,0.27,0.14,1
San Benito,A,Improved Metric,0.02,0.02,0.44,0.51,1
San Bernardino,A,Improved Metric,0.54,0.22,0.08,0.16,1
San Diego,A,Improved Metric,0.39,0.46,0.02,0.13,1
San Francisco,A,Improved Metric,0.25,0.13,0.27,0.36,1
San Joaquin,A,Improved Metric,0.14,0.44,0.1,0.32,1
San Luis Obispo,A,Improved Metric,0.19,0.31,0.34,0.15,1
San Mateo,A,Improved Metric,0.08,0.51,0.32,0.08,1
Santa Barbara,A,Improved Metric,0.16,0.34,0.28,0.22,1
Santa Clara,A,Improved Metric,0.35,0.41,0.2,0.04,1
Santa Cruz,A,Improved Metric,0.15,0.3,0.37,0.18,1
Shasta,A,Improved Metric,0.1,0.3,0.3,0.3,1
Sierra,A,Improved Metric,0.07,0.53,0.14,0.25,1
Siskiyou,A,Improved Metric,0.21,0.06,0.29,0.44,1
Solano,A,Improved Metric,0.23,0.08,0.33,0.36,1
Sonoma,A,Improved Metric,0.1,0.28,0.26,0.36,1
Stanislaus,A,Improved Metric,0.31,0.19,0.2,0.3,1
Sutter,A,Improved Metric,0.03,0.29,0.6,0.08,1
Tehama,A,Improved Metric,0.16,0.37,0.15,0.32,1
Trinity,A,Improved Metric,0.44,0.14,0.11,0.31,1
Tulare,A,Improved Metric,0.07,0.28,0.26,0.38,1
Tuolumne,A,Improved Metric,0.31,0.04,0.21,0.44,1
Ventura,A,Improved Metric,0.12,0.49,0.15,0.24,1
Yolo,A,Improved Metric,0.06,0.17,0.4,0.37,1
Yuba,A,Improved Metric,0.34,0.36,0.21,0.09,1
Alameda,B,Improved Metric,0.56,0.12,0.01,0.31,1
Alpine,B,Improved Metric,0.16,0.4,0.4,0.05,1
Amador,B,Improved Metric,0.41,0.21,0.23,0.14,1
Butte,B,Improved Metric,0.06,0.34,0.01,0.59,1
Calaveras,B,Improved Metric,0.2,0.06,0.5,0.24,1
Colusa,B,Improved Metric,0.13,0.43,0.18,0.26,1
Contra Costa,B,Improved Metric,0.22,0.26,0.26,0.26,1
Del Norte,B,Improved Metric,0.28,0.03,0.09,0.61,1
El Dorado,B,Improved Metric,0.32,0.19,0.22,0.27,1
Fresno,B,Improved Metric,0.31,0.09,0.3,0.3,1
Glenn,B,Improved Metric,0.43,0.46,0.1,0.01,1
Humboldt,B,Improved Metric,0.18,0.22,0.29,0.3,1
Imperial,B,Improved Metric,0.34,0,0.25,0.41,1
Inyo,B,Improved Metric,0.46,0.2,0.01,0.32,1
Kern,B,Improved Metric,0.36,0.16,0.13,0.35,1
Kings,B,Improved Metric,0,0.31,0.25,0.44,1
Lake,B,Improved Metric,0.22,0.12,0.43,0.23,1
Lassen,B,Improved Metric,0.1,0.02,0.47,0.4,1
Los Angeles,B,Improved Metric,0.32,0.09,0.18,0.41,1
Madera,B,Improved Metric,0.33,0.37,0.29,0.01,1
Marin,B,Improved Metric,0.15,0.4,0.27,0.19,1
Mariposa,B,Improved Metric,0.06,0.17,0.5,0.27,1
Mendocino,B,Improved Metric,0.15,0.05,0.44,0.36,1
Merced,B,Improved Metric,0.33,0.16,0.3,0.22,1
Modoc,B,Improved Metric,0.27,0.4,0.14,0.2,1
Mono,B,Improved Metric,0.28,0.16,0.33,0.24,1
Monterey,B,Improved Metric,0.04,0.35,0.35,0.26,1
Napa,B,Improved Metric,0.22,0.14,0.16,0.49,1
Nevada,B,Improved Metric,0.5,0.29,0.12,0.09,1
Orange,B,Improved Metric,0.35,0.02,0.26,0.38,1
Placer,B,Improved Metric,0.37,0.08,0.31,0.24,1
Plumas,B,Improved Metric,0.08,0.35,0.22,0.35,1
Riverside,B,Improved Metric,0.05,0.31,0.32,0.32,1
Sacramento,B,Improved Metric,0.26,0.21,0.27,0.26,1
San Benito,B,Improved Metric,0.19,0.32,0.09,0.39,1
San Bernardino,B,Improved Metric,0.39,0,0.01,0.6,1
San Diego,B,Improved Metric,0.15,0.07,0.4,0.39,1
San Francisco,B,Improved Metric,0.1,0.45,0.05,0.4,1
San Joaquin,B,Improved Metric,0.6,0.06,0.24,0.1,1
San Luis Obispo,B,Improved Metric,0.11,0.28,0.5,0.11,1
